Country Name,Country Code,Series,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Afghanistan,AFG,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,1.16036,1.11718,1.42788,..,1.30332,..,..,..,1.73981,1.84093,1.90917,1.72998,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.47945,3.46201,2.6042,3.45446,3.69522,3.2558,4.22836,4.05887,..,..,..,..,..,..
Afghanistan,AFG,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,..,..,..,..,..,..,..,..,..,..,8.9224,8.94142,9.18603,9.63943,9.73067,10.45442,11.06957,11.80538,12.63012,..,16.28938,18.03261,11.49034,..,14.01731,15.47144,18.04252,..,21.54541,20.73737,20.38771,19.21422,..,14.89356,26.49335,28.6594,..,..,..,3.84434,0,0,42.82885,66.69796,62.591,71.81207,77.6684,74.82184,77.98242,76.51035,80.63546,80.93683,86.32884,85.90214,86.7296,83.50442,82.55836,82.08028,82.85025,..,..,..,..,..
Afghanistan,AFG,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,..,..,..,..,..,..,..,..,..,..,0.16919,0.16453,0.16825,0.17596,0.17467,0.18308,0.18906,0.19827,0.20467,..,0.22998,0.23702,0.50285,..,0.47464,0.48543,0.54328,..,0.50193,0.52874,0.5485,0.54788,..,0.35307,0.5058,0.51505,..,..,..,0.0849,0,0,0.45693,0.5622,0.43282,0.58334,0.62357,0.61379,0.63642,0.6575,0.67981,0.71258,0.72026,0.70286,0.69825,0.68081,0.67937,0.67617,0.66691,..,..,..,..,..
Afghanistan,AFG,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1445969,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1979198,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Adult illiterate population, 15+ years, both sexes (number)",UIS.LP.AG15T99,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5931821,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10777643,..,..,..,..,..,..,12053875,..,..,..,..,..
Afghanistan,AFG,"Elderly illiterate population, 65+ years, % female",UIS.LPP.AG65,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,53.94983,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,58.05037,..,..,..,..,..,..,59.7579,..,..,..,..,..
Afghanistan,AFG,"Illiterate population, 25-64 years, both sexes (number)",UIS.ILLPOP.AG25T64,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3782779,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7027369,..,..,..,..,..,..,8430098,..,..,..,..,..
Albania,ALB,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.44698,3.81464,3.08351,3.37947,3.53698,3.59293,3.43017,3.4587,3.1178,3.13824,3.22752,3.28155,3.19146,3.27593,..,..,..,..,..,3.5393,..,3.43797,3.96209,3.61172,..,..,..,..,..,..
Albania,ALB,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,115.8728,..,112.30045,109.54504,105.62868,102.98488,102.03417,101.95049,102.02905,102.83941,103.10673,100.2263,100.08237,99.7493,99.68872,101.4418,100.39709,100.27136,100.8794,102.34688,104.85651,106.12852,105.47271,104.72027,104.04386,103.78212,101.11178,100.49498,98.86424,100.95622,98.30409,96.73367,95.80653,92.96703,93.80494,95.78378,98.40964,101.15748,106.12752,107.29018,107.53385,108.87005,109.11123,106.44361,..,..,..,..
Albania,ALB,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.94486,..,0.95587,0.95563,0.96757,0.96412,0.9723,0.98839,0.97296,0.98444,0.99151,0.97686,1.00966,1.00604,1.00459,1.00398,1.01642,1.03497,0.98764,0.96867,0.97385,0.96628,0.96947,0.98146,0.99717,1.01539,0.99434,1.00944,1.0135,1.00536,1.00844,1.00776,1.00249,0.99718,1.00642,1.01557,1.01601,1.02221,1.03682,1.0313,1.03555,1.03224,1.03765,1.02963,..,..,..,..
Albania,ALB,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8857,12550,16338,..,20987,22233,..,..,..,23142,32820,29727,24907,16471,9113,4527,3929,3988,3628,4085,3359,..,..,..,..
Albania,ALB,"Adult illiterate population, 15+ years, both sexes (number)",UIS.LP.AG15T99,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,28139,..,..,..,..,..,..,91796,..,..,72533,63752,..,..,..,..,..,44114,..,..,..,..,..
Albania,ALB,"Elderly illiterate population, 65+ years, % female",UIS.LPP.AG65,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,74.57331,..,..,..,..,..,..,73.13672,..,..,77.78251,67.97415,..,..,..,..,..,63.92919,..,..,..,..,..
Albania,ALB,"Illiterate population, 25-64 years, both sexes (number)",UIS.ILLPOP.AG25T64,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8282,..,..,..,..,..,..,16647,..,..,19992,15694,..,..,..,..,..,14715,..,..,..,..,..
Algeria,DZA,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7.18201,6.59742,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.33702,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,..,..,..,..,..,..,..,..,..,..,..,57.1174,61.98512,66.55951,69.98264,72.22414,75.38043,78.09395,79.46835,80.15688,80.67009,80.287,79.65013,79.15717,79.21209,79.15043,79.21857,81.10196,82.94555,83.6585,84.44876,86.44249,88.86042,89.59785,90.80513,91.2706,92.87392,94.34884,95.86904,97.96343,100.49943,99.5018,100.93995,101.64258,102.69638,103.3146,103.94681,105.71126,105.58136,108.56269,111.54048,112.78835,114.63906,116.31155,115.46546,112.99054,110.83654,108.89749,107.30229,104.85988,..,..,..,..
Algeria,DZA,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,..,..,..,..,..,..,..,..,..,..,..,0.62717,0.65592,0.67047,0.67699,0.68557,0.69677,0.71378,0.72146,0.73566,0.74511,0.75377,0.75897,0.76799,0.77494,0.787,0.80448,0.81908,0.82773,0.83652,0.84105,0.84636,0.85611,0.86409,0.87503,0.88299,0.89235,0.89921,0.90671,0.91265,0.91668,0.9183,0.92461,0.92375,0.92588,0.92509,0.92651,0.93389,0.93659,0.9359,0.93749,0.9384,0.94445,0.94841,0.95096,0.9523,0.94972,0.95093,0.95499,0.95585,..,..,..,..
Algeria,DZA,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,..,..,..,..,..,..,..,..,..,..,..,..,..,866046,781030,731044,688975,659253,645462,661950,646464,657367,689335,735831,722889,733454,710820,679124,652265,623454,614621,549637,510013,539814,548351,541872,565833,592222,..,462619,426108,329083,272111,245671,207294,186567,169018,153328,98566,29031,30997,26336,24848,..,..,23175,26224,19722,14211,16430,..,..,..,..
Algeria,DZA,"Adult illiterate population, 15+ years, both sexes (number)",UIS.LP.AG15T99,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6612798,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6555476,..,..,..,6573832,..,6251950,..,..,..,..,..,..,..,..,..,5484148,..,..,..,..,..
Algeria,DZA,"Elderly illiterate population, 65+ years, % female",UIS.LPP.AG65,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,59.11156,..,..,..,..,..,..,..,..,..,..,..,..,..,..,57.3023,..,..,..,58.69729,..,58.77894,..,..,..,..,..,..,..,..,..,61.68604,..,..,..,..,..
Algeria,DZA,"Illiterate population, 25-64 years, both sexes (number)",UIS.ILLPOP.AG25T64,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4635804,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4473954,..,..,..,4457876,..,4285416,..,..,..,..,..,..,..,..,..,3541351,..,..,..,..,..
American Samoa,ASM,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,14.62928,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,97.73002,96.83192,98.11051,101.77116,100.22185,99.34765,100.02644,99.66718,100.09913,93.93064,88.10192,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.98175,0.97023,0.93386,0.94018,0.9488,0.98081,1.01577,1.01789,1.02306,1.02778,1.01761,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
