Country,Country Code,Series,Series Code,1987 [1987],1988 [1988],1989 [1989],1990 [1990],1991 [1991],1992 [1992],1993 [1993],1994 [1994],1995 [1995],1996 [1996],1997 [1997],1998 [1998],1999 [1999],2000 [2000],2001 [2001],2002 [2002],2003 [2003],2004 [2004],2005 [2005],2006 [2006],2007 [2007],2008 [2008],2009 [2009],2010 [2010],2011 [2011],2012 [2012],2013 [2013],2014 [2014],2015 [2015],2016 [2016],2017 [2017],2018 [2018],2019 [2019],2020 [2020],2021 [2021],2022 [2022],2023 [2023]
Advanced Economies,AME,"GDP,constant 2010 US$,millions,seas. adj.,",NYGDPMKTPSAKD,25584371.0052192,26817514.3614956,27864324.5273488,28669663.2321525,29044087.0907958,29628566.7144363,29983088.7514742,30942303.69835,31780965.0987777,32690537.9070514,33788386.6157069,34685829.3170058,35845386.0083921,37294326.0811441,37850730.8246507,38406658.0382088,39145885.912609,40329233.4959519,41426079.3691283,42636384.0957234,43745769.4574758,43846188.2278155,42313122.6023273,43559139.6185204,44271536.5670472,44777177.2343858,45379983.451903,46253228.5226793,47278108.5883933,48096024.525419,49286692.7783848,50377356.8486379,51214207.1314358,48952326.3385458,51564438.9273009,52923108.4087393,13342093.6098684
Advanced Economies,AME,"GDP,current US$,millions,seas. adj.,",NYGDPMKTPSACD,13961002.5406774,15774183.5046823,16463257.556728,18441516.6682035,19652199.4880724,21113343.4341156,21365714.7226909,22969611.5171334,25378459.7793191,25511073.2941006,24998446.0253522,25109854.1638361,26423857.6116356,26863277.1445656,26587423.8566183,27763965.7730559,31143799.0695168,34517384.9693133,36314048.6407857,38199409.8819999,41735768.5395008,44084553.5757052,41579670.9512851,43390682.0661659,46601687.8619123,46422000.2382724,46825697.1292187,47905951.5698039,45308634.9173199,46513884.9459742,48565801.7642761,51393172.4790417,51882843.7394473,50892862.7119767,56505108.1557909,57478182.476436,14922270.3995086
Afghanistan,AFG,"GDP,constant 2010 US$,millions,seas. adj.,",NYGDPMKTPSAKD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"GDP,current US$,millions,seas. adj.,",NYGDPMKTPSACD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,"GDP,constant 2010 US$,millions,seas. adj.,",NYGDPMKTPSAKD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10782.8085050221,11945.8131934962,12336.1767906825,12666.1037380901,12834.3683733364,12960.6987966503,13194.5186247608,13486.5942447984,13934.3870987442,14464.9430102464,15046.6644360942,15363.3668208216,14872.2555574942,16168.402115723,16963.3596565337,0
Albania,ALB,"GDP,current US$,millions,seas. adj.,",NYGDPMKTPSACD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12940.7086177414,12066.0523954313,11937.4028713281,12902.9917005939,12326.1537479567,12797.0401726057,13229.9451733935,11392.2413253842,11855.5409779803,13058.5628573905,15155.124848835,15408.6102820305,15179.0281467521,17887.6201683897,18848.3410773255,0
Algeria,DZA,"GDP,constant 2010 US$,millions,seas. adj.,",NYGDPMKTPSAKD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,"GDP,current US$,millions,seas. adj.,",NYGDPMKTPSACD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,AGO,"GDP,constant 2010 US$,millions,seas. adj.,",NYGDPMKTPSAKD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,AGO,"GDP,current US$,millions,seas. adj.,",NYGDPMKTPSACD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,ATG,"GDP,constant 2010 US$,millions,seas. adj.,",NYGDPMKTPSAKD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,ATG,"GDP,current US$,millions,seas. adj.,",NYGDPMKTPSACD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,"GDP,constant 2010 US$,millions,seas. adj.,",NYGDPMKTPSAKD,225789.179140152,221631.649384111,206348.70194159,202361.8575614,223728.585927913,245389.840557012,257188.614595107,272155.965192053,264437.37194257,278908.42926653,301521.39150229,313021.61664717,302556.619621889,300243.176724538,286953.654392789,255916.727896308,278751.663670939,291707.111517236,317528.033423155,343079.994883938,373983.444018151,389156.823414728,366124.479425674,403196.040677941,427403.735684837,423016.776738447,433191.699377803,422307.259147919,433841.144984505,424815.82685263,436789.273455422,425356.76694622,416845.968924619,375576.197339279,415830.491367061,436440.589446362,109270.949402779
Argentina,ARG,"GDP,current US$,millions,seas. adj.,",NYGDPMKTPSACD,0,0,0,0,0,0,264518.872679895,287985.503813435,288445.611841928,304147.113197251,327360.243932861,334260.913758707,317282.417979175,318030.360348189,300746.337302682,116411.570883646,143007.02408929,164972.487588089,199264.438687115,232893.939353973,287676.067223212,363570.706803235,334427.775030694,424230.000701402,526909.923822729,579214.379177897,610838.505723596,562831.928503372,642188.639825025,556320.95988874,642992.077832729,543831.80409385,449276.446527423,385816.383199229,485172.676732493,627477.047038077,159001.6290786
Armenia,ARM,"GDP,constant 2010 US$,millions,seas. adj.,",NYGDPMKTPSAKD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
